epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,5361.99,0.06814,0.15132,0.96506,0.76692,0,0.82569,0.75457,0.85061,0.68211,0.81608,0.75929,0.82112,0.61006,0.08017,0.16894,0.89234,0.60087,0,6.8454e-05,6.8454e-05,6.8454e-05
92,5417.5,0.06814,0.15165,0.77685,0.76844,0,0.81257,0.79034,0.85493,0.68689,0.80891,0.78584,0.82196,0.61161,0.07937,0.16852,0.87731,0.59491,0,5.93093e-05,5.93093e-05,5.93093e-05
93,5472.98,0.06705,0.15276,0.78404,0.76961,0,0.83041,0.77999,0.85564,0.68528,0.8202,0.77509,0.82,0.61199,0.07888,0.16617,0.88328,0.59331,0,5.11027e-05,5.11027e-05,5.11027e-05
94,5528.41,0.06524,0.15379,0.7671,0.75619,0,0.8182,0.78861,0.85627,0.69056,0.81545,0.76641,0.82107,0.61073,0.07908,0.16753,0.87209,0.59315,0,4.38424e-05,4.38424e-05,4.38424e-05
95,5583.97,0.06556,0.14097,0.74472,0.75588,0,0.81981,0.78111,0.8535,0.69154,0.81954,0.76637,0.82441,0.61051,0.07807,0.1685,0.87166,0.58904,0,3.75356e-05,3.75356e-05,3.75356e-05
96,5639.35,0.0629,0.14356,0.96666,0.74565,0,0.82112,0.7881,0.8575,0.69224,0.8277,0.76106,0.82479,0.6133,0.07805,0.16888,0.87095,0.58931,0,3.21885e-05,3.21885e-05,3.21885e-05
97,5694.28,0.06454,0.15458,0.7703,0.75185,0,0.82044,0.76827,0.85623,0.69015,0.83383,0.75752,0.82345,0.61362,0.07819,0.16664,0.86946,0.59086,0,2.78064e-05,2.78064e-05,2.78064e-05
98,5749.14,0.06334,0.14476,0.73649,0.75454,0,0.82554,0.77522,0.85827,0.68816,0.82022,0.76814,0.8238,0.61236,0.07808,0.16678,0.87367,0.59038,0,2.43937e-05,2.43937e-05,2.43937e-05
99,5804.69,0.06404,0.14917,0.7512,0.74668,0,0.83211,0.7807,0.8567,0.69042,0.83339,0.75221,0.82199,0.61131,0.07778,0.16567,0.87294,0.5882,0,2.19535e-05,2.19535e-05,2.19535e-05
100,5860.02,0.06341,0.15122,0.74421,0.75576,0,0.81546,0.7823,0.85432,0.69169,0.8234,0.77699,0.82273,0.61317,0.07733,0.16735,0.875,0.58721,0,2.04885e-05,2.04885e-05,2.04885e-05
